Country,Longitude,Latitude
Peru,-73.97537663,-7.4457227
Philippines,122.6806714,11.45729614
Pitcairn Islands,-128.3130832,-24.3710503
Poland,19.08651572,51.40997794
Portugal,-7.887035126,39.93083948
Puerto Rico,-66.74931258,18.17312912
Qatar,51.19335646,25.19930509
Republic of Congo,14.39772396,-1.121128522
Reunion,55.55901693,-21.13005867
Romania,24.52921207,45.84464847
Russia,99.16678365,63.54476059
Rwanda,29.92354685,-2.001967265
Saba,-63.23945379,17.6341188
Saint Barthelemy,-62.84355649,17.89602314
Saint Helena,-5.710274764,-15.96372768
Saint Kitts,-62.73583574,17.31080231
Saint Lucia,-60.96753311,13.91140614
Saint Martin,-63.05110168,18.09003993
Saint Pierre and Miquelon,-56.26717345,46.87957764
Saint Vincent,-61.1902401,13.2498044
Samoa,-172.0710963,-13.79275174
San Marino,12.45212051,43.94139917
Sao Tome and Principe,6.964781609,0.858782461
Saudi Arabia,44.86927079,23.17242343
Senegal,-14.38069117,14.03323392
Serbia,20.75116898,44.25244721
Seychelles,55.48194647,-4.67993176
Siachen Glacier,77.27147057,35.41271391
Sierra Leone,-11.92833312,8.539254329
Singapore,103.8665593,1.366417024
Sint Eustatius,-62.97035133,17.50188828
Sint Maarten,-63.07253592,18.05387906
Slovakia,19.62059133,48.83819067
Slovenia,14.84369235,46.12320394
Solomon Islands,159.5857148,-8.999077956
Somalia,46.17921939,7.414941401
South Africa,25.29983117,-28.84654388
South Georgia,-36.72239033,-54.33648945
South Korea,127.3394136,35.73691086
South Sandwich Islands,-26.32981586,-58.42311954
South Sudan,30.34546976,7.919466997
Spain,-2.906820906,40.67995298
Sri Lanka,80.51236302,8.469555616
Sudan,30.13603999,13.9933259
Suriname,-56.07116119,3.725439208
Swaziland,31.56857787,-26.45952932
Sweden,17.57630542,61.89590923
Switzerland,8.312952256,46.74156613
Syria,38.07934568,35.12442504
Taiwan,120.724686,23.72663649
Tajikistan,70.7527184,38.95632402
Tanzania,35.05923483,-6.550021064
Thailand,100.7094822,13.24865418
Timor-Leste,125.5245981,-8.905857904
Tobago,-60.68390608,11.24049056
Togo,0.706518546,8.765308103
Tonga,-174.7750587,-20.39967042
Trinidad,-61.32456665,10.45785329
Tunisia,9.90426645,34.21880425
Turkey,34.29492853,39.06608087
Turkmenistan,58.35088599,39.50527068
Turks and Caicos Islands,-71.98106174,21.82682346
Uganda,32.12788997,1.384924266
United Kingdom,-4.098750106,55.55813166
Ukraine,31.23369482,48.47919871
United Arab Emirates,54.38752719,24.25769826
Uruguay,-56.01837398,-32.29726104
