"Country","CO2 Emitted (in tons)","Pollution Death Rate (% per 100,000)","Project Funds (USD Million)","Code"
"Niger",44106012.93,0.049,0,"NER"
"Nigeria",3372735176.54,0.031,6.31,"NGA"
"North Korea",4966052271.32,0.046,0,"KOR"
"Norway",2585216440.64,0.005,2919.11,"NOR"
"Oman",1071493410.39,0.02,0,"OMN"
"Pakistan",4360589827.17,0.04,10.24,"PAK"
"Palestine",48304339.97,0.02,0,"PSE"
"Panama",270033081.51,0.008,1,"PAN"
"Papua New Guinea",152482152.43,0.08,0,"PNG"
"Paraguay",150098367.67,0.016,0,"PRY"
"Peru",1857299523.92,0.015,6,"PER"
"Philippines",2959759692.42,0.031,0,"PHL"
"Poland",26848816401.5,0.015,0.1,"POL"
"Portugal",2476694775.57,0.008,12.64,"PRT"
"Qatar",1878554596.22,0.028,0,"QAT"
"Romania",8323783409.42,0.018,0.31,"ROU"
"Russia",100589103946.5,0.019,0,"RUS"
"Rwanda",25185419.38,0.047,0,"RWA"
"Saint Lucia",12036657.41,0.015,0,"LCA"
"Saint Vincent and the Grenadines",6228123.09,0.017,0,"VCT"
"Samoa",6445614.36,0.024,0,"WSM"
"Sao Tome and Principe",2954819.58,0.038,0,"STP"
"Saudi Arabia",13843617871.16,0.02,0,"SAU"
"Senegal",203790993.12,0.034,0,"SEN"
"Serbia",2381789223.74,0.023,0,"SRB"
"Seychelles",14863511.05,0.015,0,"SYC"
"Sierra Leone",35859968.78,0.052,0,"SLE"
"Singapore",1936584508.46,0.01,0,"SGP"
"Slovakia",2730069465.7,0.015,0,"SVK"
"Slovenia",756184328.39,0.01,5.92,"SVN"
"Solomon Islands",7165127.22,0.061,0,"SLB"
"Somalia",31190567.7,0.059,0,"SOM"
"South Africa",19787369761.82,0.024,5.86,"ZAF"
"South Korea",15786618228.53,0.01,0,"PRK"
"South Sudan",29721726.88,0.051,0,"SSD"
"Spain",14136085451.68,0.006,502.16,"ESP"
"Sri Lanka",436284059.17,0.019,0,"LKA"
"Sudan",353794292.86,0.039,0,"SDN"
"Suriname",104379604.54,0.016,0,"SUR"
"Swaziland",35288300.1,0.042,0,"SWZ"
"Sweden",4858725461.04,0.004,1116.07,"SWE"
"Switzerland",2918791195.06,0.006,315.5,"CHE"
"Syria",1762385573.23,0.021,0,"SYR"
"Taiwan",8050965636.82,0.012,0,"TWN"
"Tajikistan",287463209.67,0.032,0,"TJK"
"Tanzania",203638081.93,0.035,0,"TZA"
"Thailand",7013231542.03,0.015,0,"THA"
"Timor",4729565.89,0.037,0,"TLS"
"Togo",62673115.9,0.04,0,"TGO"
"Tonga",3965652.34,0.026,0,"TON"
"Trinidad and Tobago",1455796377.57,0.019,0,"TTO"
"Tunisia",808028625.71,0.017,0,"TUN"
"Turkey",9602486274.14,0.018,1.94,"TUR"
"Turkmenistan",2183172084.73,0.026,0,"TKM"
"Uganda",95059160.01,0.037,0,"UGA"
"Ukraine",25796386297.1,0.023,0,"UKR"
"United Arab Emirates",4154728972.86,0.024,0,"ARE"
"United Kingdom",77071055648.4,0.008,5186.23,"GBR"
"United States",399378341401,0.007,5802.82,"USA"
"Uruguay",353071941.93,0.008,0,"URY"
"Uzbekistan",6034285830.25,0.033,0,"UZB"
"Vanuatu",4315060.06,0.046,0,"VUT"
"Venezuela",7572615003.09,0.011,0,"VEN"
"Vietnam",3016099138.38,0.023,1,"VNM"
"Yemen",619432762.91,0.037,0,"YEM"
"Zambia",187368599.78,0.04,0,"ZMB"
"Zimbabwe",701987856.04,0.038,0,"ZWE"
